,secID,ticker,exchangeCD,secShortName,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,CHG,CHGPct,turnoverVol,turnoverValue,discount,discountRatio,circulationShares,accumAdjFactor
0,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-02-23,0.887,0.881,0.882,0.866,0.876,-0.011,-0.0124,1269742542,1111793167,0.002,0.002278,5940000000.0,1.0
1,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-02-24,0.876,0.876,0.876,0.868,0.876,0.0,0.0,451614223,394141216,0.001,0.00114,5768000000.0,1.0
2,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-02-25,0.876,0.877,0.887,0.875,0.88,0.004,0.0046,506460695,446597972,-0.002,-0.002278,5509000000.0,1.0
3,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-02-28,0.88,0.878,0.879,0.87,0.872,-0.008,-0.0091,187965193,164467462,-0.003,-0.003452,5513000000.0,1.0
4,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-03-01,0.872,0.87,0.873,0.865,0.867,-0.005,-0.0057,208094456,180573596,-0.001,-0.001155,5631000000.0,1.0
5,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-03-02,0.867,0.867,0.874,0.857,0.859,-0.008,-0.0092,249274643,215572195,-0.003,-0.003505,5750000000.0,1.0
6,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-03-03,0.859,0.858,0.861,0.854,0.859,0.0,0.0,100153220,85830280,0.003,0.00348,5749000000.0,1.0
7,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-03-04,0.859,0.859,0.865,0.857,0.86,0.001,0.0012,129800189,111715108,-0.001,-0.001164,5739000000.0,1.0
8,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-03-07,0.86,0.86,0.865,0.86,0.862,0.002,0.0023,116789645,100713450,0.002,0.002315,5734000000.0,1.0
9,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-03-08,0.862,0.864,0.875,0.863,0.874,0.012,0.0139,298505387,259486071,0.002,0.002283,5634000000.0,1.0
10,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-03-09,0.874,0.874,0.878,0.869,0.873,-0.001,-0.0011,200006304,174863933,-0.004,-0.004603,5595000000.0,1.0
11,510050.XSHG,510050,XSHG,华夏上证50ETF,2005-03-10,0.873,0.872,0.872,0.852,0.853,-0.02,-0.0229,333859748,287003280,-0.002,-0.00235,5836000000.0,1.0
